CRC_or_Normal,Sample,Reads,BGCs,Normalised_BGCs
CRC,1,11980,26,21.7028380634391
CRC,2,11906,43,36.1162439106333
CRC,3,9888,20,20.2265372168285
CRC,4,25149,108,42.9440534414887
CRC,5,22158,92,41.5199927791317
CRC,6,13263,45,33.9289753449446
CRC,7,18553,19,10.2409313857597
CRC,8,9853,37,37.5520146148381
Normal,1,11594,30,25.8754528204244
Normal,2,10720,30,27.9850746268657
Normal,3,78430,72,9.18016065281142
Normal,4,17178,46,26.7784375363837
Normal,5,17528,55,31.3783660429028
Normal,6,16366,54,32.9952340217524
Normal,7,20461,70,34.2114266164899
Normal,8,19743,48,24.3124145266677
